# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCacheLockFree.totalClosedStoragesReclaimed,1780546145248000000,1780546153515000000,2
DirectByteBufferAllocator.hits,1780546145248000000,1780546153515000000,3
FilePageCache.maxCacheSizeInBytes,1780546145248000000,1780546153515000000,199229440
FilePageCacheLockFree.housekeeperTimeSpentMs,1780546145248000000,1780546153515000000,44
FilePageCacheLockFree.totalBytesWritten,1780546145248000000,1780546153515000000,24
FilePageCacheLockFree.totalPagesRequestsMs,1780546145248000000,1780546153515000000,7
FilePageCacheLockFree.totalNativeBytesReclaimed,1780546145248000000,1780546153515000000,16384
FilePageCacheLockFree.totalPageAllocationsWaited,1780546145248000000,1780546153515000000,0
DirectByteBufferAllocator.disposed,1780546145248000000,1780546153515000000,150
FilePageCacheLockFree.totalPagesAllocated,1780546145248000000,1780546153515000000,2
FilePageCacheLockFree.heapBytesInUse,1780546145248000000,1780546153515000000,0
DirectByteBufferAllocator.misses,1780546145248000000,1780546153515000000,192
FilePageCacheLockFree.totalBytesRequested,1780546145248000000,1780546153515000000,73728
FilePageCacheLockFree.totalPagesReclaimed,1780546145248000000,1780546153515000000,2
FilePageCache.capacityInBytes,1780546145248000000,1780546153515000000,503316478
FilePageCache.maxRegisteredFiles,1780546145248000000,1780546153515000000,529
MappedFileStorage.totalTimeSpentOnMappingUs,1780546145248000000,1780546153515000000,565265
FilePageCacheLockFree.housekeeperTurnsDone,1780546145248000000,1780546153515000000,19
DirectByteBufferAllocator.reclaimed,1780546145248000000,1780546153515000000,45
FilePageCache.disposedBuffers,1780546145248000000,1780546153515000000,193
StorageLockContext.competingThreads.max,1780546145248000000,1780546153515000000,0
MappedFileStorage.totalBytesMapped,1780546145248000000,1780546153515000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1780546145248000000,1780546153515000000,41959424
MappedFileStorage.totalPagesMapped,1780546145248000000,1780546153515000000,0
FilePageCache.totalPageDisposalsUs,1780546145248000000,1780546153515000000,1213
FilePageCache.pageLoads,1780546145248000000,1780546153515000000,193
FilePageCache.pageLoadsAboveSizeThreshold,1780546145248000000,1780546153515000000,0
FilePageCache.pageHits,1780546145248000000,1780546153515000000,0
StorageLockContext.competingThreads.90P,1780546145248000000,1780546153515000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1780546145248000000,1780546153515000000,6097
FilePageCacheLockFree.totalPagesRequested,1780546145248000000,1780546153515000000,9
FilePageCacheLockFree.totalPagesHandedOver,1780546145248000000,1780546153515000000,0
FilePageCacheLockFree.totalBytesRead,1780546145248000000,1780546153515000000,0
FilePageCacheLockFree.nativeBytesInUse,1780546145248000000,1780546153515000000,0
FilePageCacheLockFree.totalPagesWritten,1780546145248000000,1780546153515000000,3
FilePageCacheLockFree.totalHeapBytesReclaimed,1780546145248000000,1780546153515000000,0
FilePageCache.pageFastCacheHits,1780546145248000000,1780546153515000000,13386
FilePageCache.totalPageLoadsUs,1780546145248000000,1780546153515000000,135370
FileChannelInterruptsRetryer.totalRetriedAttempts,1780546145248000000,1780546153515000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1780546145248000000,1780546153515000000,16384
FilePageCacheLockFree.totalHeapBytesAllocated,1780546145248000000,1780546153515000000,0
MappedFileStorage.storages,1780546145248000000,1780546153515000000,0
FilePageCache.uncachedFileAccess,1780546145248000000,1780546153515000000,328
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1780546145248000000,1780546153515000000,41959424
FilePageCacheLockFree.totalPagesWriteMs,1780546145248000000,1780546153515000000,0
StorageLockContext.competingThreads.avg,1780546145248000000,1780546153515000000,0.0
FilePageCacheLockFree.totalPagesReadMs,1780546145248000000,1780546153515000000,6
workspaceModel.to.snapshot.ms,1780546145248000000,1780546153515000000,0
workspaceModel.loading.total.ms,1780546145248000000,1780546153515000000,23
workspaceModel.check.recursive.update.ms,1780546145248000000,1780546153515000000,0
workspaceModel.collect.changes.ms,1780546145248000000,1780546153515000000,0
workspaceModel.initializing.ms,1780546145248000000,1780546153515000000,0
workspaceModel.pre.handlers.ms,1780546145248000000,1780546153515000000,0
workspaceModel.loading.from.cache.ms,1780546145248000000,1780546153515000000,15
workspaceModel.init.bridges.ms,1780546145248000000,1780546153515000000,0
workspaceModel.update.unloaded.entities.ms,1780546145248000000,1780546153515000000,0
workspaceModel.replace.project.model.ms,1780546145248000000,1780546153515000000,0
workspaceModel.updates.ms,1780546145248000000,1780546153515000000,0
workspaceModel.updates.precise.ms,1780546145248000000,1780546153515000000,0
workspaceModel.updates.count,1780546145248000000,1780546153515000000,0
NonBlockingReadAction.failedExecutionsCount,1780546145248000000,1780546153515000000,0
FlushQueue.queueSize90P,1780546145248000000,1780546153515000000,0
FlushQueue.queueSizeAvg,1780546145248000000,1780546153515000000,0.0
AWTEventQueue.eventsDispatched,1780546145248000000,1780546153515000000,0
FlushQueue.executionTimeAvgNs,1780546145248000000,1780546153515000000,0.0
FlushQueue.waitingTimeMaxNs,1780546145248000000,1780546153515000000,0
FlushQueue.waitingTimeAvgNs,1780546145248000000,1780546153515000000,0.0
NonBlockingReadAction.failedExecutionTimeUs,1780546145248000000,1780546153515000000,0
FlushQueue.tasksExecuted,1780546145248000000,1780546153515000000,0
AWTEventQueue.dispatchTimeTotalNS,1780546145248000000,1780546153515000000,7131302338
FlushQueue.executionTimeMaxNs,1780546145248000000,1780546153515000000,0
AWTEventQueue.dispatchTimeAvgNs,1780546145248000000,1780546153515000000,0.0
FlushQueue.executionTime90PNs,1780546145248000000,1780546153515000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1780546145248000000,1780546153515000000,34277
FlushQueue.waitingTime90PNs,1780546145248000000,1780546153515000000,0
NonBlockingReadAction.finalizedExecutionsCount,1780546145248000000,1780546153515000000,14
AWTEventQueue.dispatchTimeMaxNs,1780546145248000000,1780546153515000000,0
WriteAction.executionsCount,1780546145248000000,1780546153515000000,1
ReadAction.executionsCount,1780546145248000000,1780546153515000000,49075
AWTEventQueue.dispatchTime90PNs,1780546145248000000,1780546153515000000,0
FlushQueue.queueSizeMax,1780546145248000000,1780546153515000000,0
workspaceModel.load.cache.metadata.from.file.ms,1780546145248000000,1780546153515000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1780546145248000000,1780546153515000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1780546145248000000,1780546153515000000,0
workspaceModel.save.cache.to.file.ms,1780546145248000000,1780546153515000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1780546145248000000,1780546153515000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1780546145248000000,1780546153515000000,1
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1780546145248000000,1780546153515000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1780546145248000000,1780546153515000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1780546145248000000,1780546153515000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1780546145248000000,1780546153515000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1780546145248000000,1780546153515000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1780546145248000000,1780546153515000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1780546145248000000,1780546153515000000,0
workspaceModel.load.cache.from.file.ms,1780546145248000000,1780546153515000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1780546145248000000,1780546153515000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1780546145248000000,1780546153515000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1780546145248000000,1780546153515000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1780546145248000000,1780546153515000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1780546145248000000,1780546153515000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1780546145248000000,1780546153515000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1780546145248000000,1780546153515000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1780546145248000000,1780546153515000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1780546145248000000,1780546153515000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1780546145248000000,1780546153515000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1780546145248000000,1780546153515000000,0
workspaceModel.mutableEntityStorage.entities.ms,1780546145248000000,1780546153515000000,0
